,Companies,locations
256,"['INTELLCAP \n        Internship', 'Olympiades ENSIAS']","['Rabat, Rabat-Salé-Kénitra, Maroc', 'Rabat, Rabat-Salé-Kénitra, Maroc', 'Rabat, Rabat-Salé-Kénitra, Maroc', 'Rabat, Rabat - Salé - Kénitra, Maroc', 'Rabat, MAROC']"
257,['Groupe Managem'],"['Préfecture de Marrakech, Morocco']"
258,"['ENSIAS AI\n        Part-time', 'Olympiades ENSIAS\n        Part-time']",[]
259,['Hult Prize Foundation'],[]
260,"['Office National Des Aéroports\n        Internship', ""Ecole Nationale Supérieure d'Informatique et d'Analyse des Systèmes - ENSIAS\n        Apprenticeship""]","['Dakhla , Morocco', 'Rabat Prefecture, Morocco']"
261,"['IENA | Performance Management et Finance Consulting', 'Performics-Cabinet IENA', 'Phone Group']","['Région de Paris, France', 'Préfecture de Casablanca, Morocco', 'Préfecture de Casablanca, Morocco']"
262,[],[]
263,"['Archytas Conseil\n        Full-time', 'Afreeway\n        Full-time', 'Archytas Conseil', 'Soft Centre\n        Internship']","['Rabat-Salé-Kénitra, Maroc', 'Elmaarif, Casablanca-Settat, Morocco', 'Rabat Prefecture, Morocco', 'Préfecture de Rabat, Morocco', 'Préfecture de Casablanca, Morocco']"
264,"['INTELCIA\n        Internship', 'Hult Prize Morocco', 'Zin Ben Services\n        Internship', 'Mobiblanc\n        Internship', 'Aggrom s.a.r.l.\n        Contract']","['Casablanca, Morocco', 'Préfecture de Rabat, Morocco', 'Casablanca', 'Préfecture de Casablanca, Morocco', 'Rabat - Salé - Kénitra, Maroc']"
265,[],[]
266,"['SFR\n        Internship', 'NEOXIA\n        Internship', 'IBM', ""Ecole Nationale Supérieure d'Informatique et d'Analyse des Systèmes - ENSIAS""]","['Paris, Île-de-France, France', 'Préfecture de Casablanca, Morocco', 'Préfecture de Rabat, Morocco']"
267,[],[]
